"model_name","status","error_message","exitcode","elapsed_seconds","b_0_est","b_w_est","b_b_est","b_w_lower","b_w_upper","b_b_lower","b_b_upper","var_u0_est","var_e_est","final_psr_max_all","final_psr_max_core","final_psr_parameter_all","final_psr_parameter_core","final_psr_focal_bw","final_psr_focal_bb","min_ess_all","min_ess_core","min_ess_parameter_all","min_ess_parameter_core","ess_focal_bw","ess_focal_bb","sim_id","model_type"
"m4_sim_28","completed",NA,0,29.79719591,-0.5984,0.5107,0.3316,0.4758,0.5462,0.1626,0.4832,0.7777,0.7806,1.0205,1.0205,"y_mar.intercept","y_mar.intercept",1.0002,1.016,130.6886,130.6886,"y_mar ~ x_mar.mean[id2]","y_mar ~ x_mar.mean[id2]",8826.6769,130.6886,28,"4_blimp_lmc_noaux"
"m5_sim_28","completed",NA,0,99.92166996,-0.0382,0.4026,0.591,0.3614,0.4459,0.3955,0.767,1.0289,1.0377,1.0337,1.0313,"y_mar.regressed on (standardized).x_mean_biased","y_mar.intercept",NA,NA,48.0937,48.0937,"y_mar ~ x_mean_biased","y_mar ~ x_mean_biased",770.3414,48.0937,28,"5_blimp_omc_aux"
"m6_sim_28","completed",NA,0,126.386646,-0.0366,0.37,0.537,0.3301,0.4103,0.3566,0.7353,1.0511,1.0076,1.0713,1.0592,"aux.regressed on (standardized).y_mar","y_mar.intercept",1.0152,1.022,53.9843,55.8729,"aux ~ x_mar.mean[id2] (standardized)","aux ~ x_mar.mean[id2]",539.3154,82.2636,28,"6_blimp_rescue"
"m2_sim_29","completed",NA,0,49.22878981,-0.0504,0.3906,0.5848,0.3625,0.4192,0.394,0.7564,0.8524,1.0089,1.0276,1.0276,"y.regressed on.x.mean[id2]","y.regressed on.x.mean[id2]",1.0001,1.0276,115.3974,115.8142,"y ~ x.mean[id2] (standardized)","y ~ x.mean[id2]",9566.976,115.8142,29,"2_blimp_complete"
"m4_sim_29","completed",NA,0,31.73974395,-0.5318,0.5234,0.4764,0.4885,0.5587,0.3052,0.6398,0.7624,0.7875,1.0173,1.0173,"y_mar.intercept","y_mar.intercept",1,1.007,155.6177,155.6177,"y_mar ~ Intercept","y_mar ~ Intercept",9350.789,161.3795,29,"4_blimp_lmc_noaux"
"m5_sim_29","completed",NA,0,89.96111298,-0.0632,0.4266,0.6784,0.3845,0.4685,0.525,0.8279,0.8402,1.0416,1.0402,1.04,"aux.regressed on (standardized).x_mean_biased","aux.regressed on.x_mean_biased",NA,NA,96.733,96.733,"aux ~ Intercept","aux ~ Intercept",570.7307,139.4492,29,"5_blimp_omc_aux"
"m6_sim_29","completed",NA,0,125.669487,-0.005,0.3922,0.6657,0.3521,0.4342,0.4508,0.8235,0.8581,1.0119,1.0467,1.044,"aux.regressed on (standardized).x_mar.mean[id2]","aux.regressed on.x_mar.mean[id2]",1.0061,1.0123,27.5894,27.5894,"aux ~ y_mar.mean[id2]","aux ~ y_mar.mean[id2]",436.0308,34.6912,29,"6_blimp_rescue"
"m2_sim_30","completed",NA,0,49.60163617,0.0196,0.3921,0.6423,0.3639,0.4195,0.4361,0.8126,1.0471,0.9884,1.0303,1.0303,"y.regressed on.x.mean[id2]","y.regressed on.x.mean[id2]",1.0001,1.0303,110.444,110.444,"y ~ x.mean[id2]","y ~ x.mean[id2]",9832.6587,110.444,30,"2_blimp_complete"
"m4_sim_30","completed",NA,0,30.862885,-0.5089,0.5223,0.481,0.4874,0.5573,0.2932,0.6611,0.8967,0.7687,1.0224,1.0224,"y_mar.regressed on.x_mar.mean[id2]","y_mar.regressed on.x_mar.mean[id2]",1.0001,1.0224,176.1882,176.1882,"y_mar ~ x_mar.mean[id2]","y_mar ~ x_mar.mean[id2]",9164.5185,176.1882,30,"4_blimp_lmc_noaux"
"m5_sim_30","completed",NA,0,83.22015214,0.0194,0.4231,0.6917,0.3802,0.4662,0.5187,0.8778,1.0499,1.0248,1.0309,1.0309,"aux.intercept","aux.intercept",NA,NA,26.941,26.941,"y_mar ~ x_mean_biased","y_mar ~ x_mean_biased",605.486,26.941,30,"5_blimp_omc_aux"
"m6_sim_30","completed",NA,0,123.525722,0.0579,0.3906,0.6533,0.3503,0.4344,0.4714,0.8485,1.0763,0.9974,1.0388,1.0388,"y_mar.intercept","y_mar.intercept",1.0056,1.0078,42.949,70.6992,"aux R2: Level-2 Random Intercepts","aux level-2 intercept variance",245.925,109.3114,30,"6_blimp_rescue"
"m2_sim_31","completed",NA,0,47.59523201,0.0753,0.3942,0.5373,0.3663,0.422,0.3491,0.7225,0.9693,0.9809,1.0332,1.0332,"y.intercept","y.intercept",1,1.0205,90.4898,90.4898,"y ~ Intercept","y ~ Intercept",9717.4534,115.6744,31,"2_blimp_complete"
"m4_sim_31","completed",NA,0,26.00822806,-0.4876,0.5325,0.2684,0.4956,0.5691,0.0902,0.467,0.8234,0.7661,1.0203,1.0203,"y_mar.intercept","y_mar.intercept",1.0001,1.0067,135.8161,135.8161,"y_mar ~ x_mar.mean[id2]","y_mar ~ x_mar.mean[id2]",9337.7177,135.8161,31,"4_blimp_lmc_noaux"
"m5_sim_31","completed",NA,0,99.91562986,0.0549,0.4434,0.5689,0.399,0.4876,0.4,0.742,0.9597,1.0221,1.0286,1.0286,"aux.intercept","aux.intercept",NA,NA,99.6831,99.6831,"aux ~ x_mean_biased","aux ~ x_mean_biased",608.3678,114.4418,31,"5_blimp_omc_aux"
"m6_sim_31","completed",NA,0,118.8628531,0.069,0.4051,0.4827,0.362,0.4507,0.2753,0.688,0.9855,0.9995,1.0547,1.0441,"y_mar.regressed on (standardized).x_mar.mean[id2]","y_mar.regressed on.x_mar.mean[id2]",1.0074,1.0441,26.7124,26.7124,"aux ~ Intercept","aux ~ Intercept",259.1157,83.3893,31,"6_blimp_rescue"
"m2_sim_32","completed",NA,0,46.30246305,0.0332,0.4239,0.667,0.3962,0.4511,0.4616,0.8663,1.0138,0.9847,1.0334,1.0334,"y.intercept","y.intercept",1,1.0228,99.0903,99.0903,"y ~ x.mean[id2]","y ~ x.mean[id2]",9790.9774,99.0903,32,"2_blimp_complete"
