"sim_id","model_type","b_0_est","b_w_est","b_b_est","cov_b_w","cov_b_b","var_u0_est","var_e_est"
48,"3_lmer_naive",-0.60703124,0.51591133,0.472475249,0,1,0.599978792,0.769812767
48,"4_blimp_lmc_noaux",-0.6042,0.5157,0.4745,0,1,0.6168,0.7705
48,"5_blimp_omc_aux",-0.1013,0.4242,0.6746,1,1,0.7726,1.0181
48,"6_blimp_rescue",-0.07,0.3856,0.6027,1,1,0.7825,0.9825
49,"1_lmer_complete",-0.007618268,0.416498628,0.6435143,1,1,1.02171356,0.988555256
49,"2_blimp_complete",0.007,0.4167,0.6506,1,1,1.0491,0.9892
49,"3_lmer_naive",-0.52678421,0.55880662,0.452396715,0,1,0.928135822,0.778765376
49,"4_blimp_lmc_noaux",-0.5388,0.5592,0.4376,0,1,0.9538,0.7802
49,"5_blimp_omc_aux",-0.0181,0.4568,0.7287,0,1,1.0568,1.0585
49,"6_blimp_rescue",0.035,0.4206,0.6737,1,1,1.0927,1.0265
50,"1_lmer_complete",-0.223185235,0.418850426,0.819901332,1,0,0.868422249,1.02364962
50,"2_blimp_complete",-0.2198,0.419,0.8224,1,0,0.8901,1.0237
50,"3_lmer_naive",-0.768468797,0.542116088,0.577859649,0,1,0.617067985,0.836733183
50,"4_blimp_lmc_noaux",-0.7713,0.5422,0.584,0,1,0.6345,0.8372
50,"5_blimp_omc_aux",-0.2452,0.4401,0.8465,1,0,0.9195,1.1233
50,"6_blimp_rescue",-0.1772,0.4004,0.7923,1,1,0.9611,1.0857
51,"1_lmer_complete",0.087221379,0.394998428,0.596590769,1,1,0.878847785,1.004388987
51,"2_blimp_complete",0.0804,0.3951,0.5886,1,1,0.9023,1.0047
51,"3_lmer_naive",-0.438349444,0.517904422,0.443799446,0,0,0.743923213,0.842732921
51,"4_blimp_lmc_noaux",-0.4441,0.5171,0.4461,0,1,0.7687,0.8439
51,"5_blimp_omc_aux",0.0955,0.4282,0.6823,1,1,0.9135,1.1181
51,"6_blimp_rescue",0.1573,0.3875,0.6517,1,1,0.9344,1.0828
52,"1_lmer_complete",-0.042471517,0.382762061,0.6518016,1,1,0.937103017,0.984055253
52,"2_blimp_complete",-0.05,0.3828,0.6488,1,1,0.9558,0.9844
52,"3_lmer_naive",-0.569025276,0.507619017,0.489451123,0,1,0.794329652,0.765961857
