sim_id,model_type,b_0_est,b_w_est,b_b_est,cov_b_w,cov_b_b,var_u0_est,var_e_est
28,6_blimp_rescue,-0.0285,0.3704,0.5478,1,1,0.9943,1.0082
29,1_lmer_complete,-0.056260376,0.390751849,0.585025824,1,1,0.832401794,1.008275383
29,2_blimp_complete,-0.0689,0.3908,0.5875,1,1,0.8576,1.0085
29,3_lmer_naive,-0.552671875,0.537756647,0.419573712,0,0,0.731114296,0.794790646
29,4_blimp_lmc_noaux,-0.5639,0.5379,0.4148,0,0,0.7538,0.7952
29,5_blimp_omc_aux,-0.0792,0.4466,0.6167,0,1,0.8463,1.0369
29,6_blimp_rescue,-0.0768,0.4149,0.5641,1,1,0.8506,1.0096
30,1_lmer_complete,0.040165778,0.391864409,0.636047205,1,1,1.021874183,0.988042048
30,2_blimp_complete,0.0276,0.392,0.6465,1,1,1.0516,0.9882
30,3_lmer_naive,-0.48774195,0.508115231,0.508996817,0,1,0.904166756,0.753132695
30,4_blimp_lmc_noaux,-0.4996,0.5083,0.5116,0,1,0.9317,0.7535
30,5_blimp_omc_aux,0.0055,0.4086,0.7156,1,1,1.0744,0.9872
30,6_blimp_rescue,0.0653,0.3825,0.6884,1,1,1.1083,0.9648
31,1_lmer_complete,0.067126645,0.393937111,0.529270498,1,1,0.944362097,0.980010706
31,2_blimp_complete,0.0527,0.3941,0.5258,1,1,0.9714,0.9803
31,3_lmer_naive,-0.447131599,0.525154995,0.272452,0,0,0.814015657,0.782295053
31,4_blimp_lmc_noaux,-0.4601,0.5256,0.2598,0,0,0.8333,0.783
31,5_blimp_omc_aux,0.0846,0.4408,0.5437,1,1,0.9582,1.0405
31,6_blimp_rescue,0.0878,0.4012,0.4647,1,1,0.9771,1.0156
32,1_lmer_complete,0.0525979,0.424234403,0.65357541,1,1,0.984503963,0.984165686
32,2_blimp_complete,0.0367,0.4244,0.6487,1,1,1.0129,0.9844
32,3_lmer_naive,-0.513673418,0.552243401,0.507756795,0,1,0.732501697,0.773880151
32,4_blimp_lmc_noaux,-0.5157,0.553,0.4942,0,1,0.7514,0.7745
32,5_blimp_omc_aux,0.0381,0.4566,0.7203,0,1,0.9817,1.0404
32,6_blimp_rescue,0.1051,0.4177,0.6948,1,1,1.0386,1.0089
33,1_lmer_complete,-0.197247097,0.374794199,0.509234283,1,1,1.098406516,0.990012313
33,2_blimp_complete,-0.2123,0.3749,0.5205,1,1,1.1317,0.9903
33,3_lmer_naive,-0.67302303,0.499727682,0.383883201,0,0,0.867959984,0.824988071
33,4_blimp_lmc_noaux,-0.6915,0.4996,0.3904,0,0,0.8951,0.8255
33,5_blimp_omc_aux,-0.1968,0.4175,0.5755,1,1,1.0956,1.0515
33,6_blimp_rescue,-0.2043,0.3804,0.507,1,1,1.0921,1.016
34,1_lmer_complete,-0.037356898,0.402148772,0.481924823,1,1,1.032017141,0.975638844
34,2_blimp_complete,-0.0528,0.4023,0.4823,1,1,1.0638,0.9759
34,3_lmer_naive,-0.481610086,0.531161668,0.281873814,0,0,0.871143718,0.779632468
34,4_blimp_lmc_noaux,-0.4987,0.5312,0.2729,0,0,0.8983,0.78
34,5_blimp_omc_aux,-0.021,0.4367,0.5121,1,1,1.028,1.0333
34,6_blimp_rescue,-0.0012,0.4037,0.4614,1,1,1.0325,1.0085
35,1_lmer_complete,-0.059880451,0.378914915,0.700181463,1,1,1.059341349,1.017127476
35,2_blimp_complete,-0.0759,0.379,0.6907,1,1,1.0876,1.0173
35,3_lmer_naive,-0.65235522,0.520464271,0.502482543,0,1,0.834370525,0.765183836
35,4_blimp_lmc_noaux,-0.6442,0.5211,0.4911,0,1,0.8574,0.7661
35,5_blimp_omc_aux,-0.1547,0.4177,0.7656,1,1,1.0925,1.0173
35,6_blimp_rescue,-0.0365,0.3863,0.7577,1,1,1.1524,0.9923
36,1_lmer_complete,0.044587767,0.397545188,0.808871982,1,0,0.950378764,1.006277514
36,2_blimp_complete,0.0291,0.3977,0.799,1,1,0.9775,1.0065
36,3_lmer_naive,-0.58276162,0.533666011,0.573640972,0,1,0.632250497,0.76051935
36,4_blimp_lmc_noaux,-0.587,0.5339,0.568,0,1,0.6524,0.7611
36,5_blimp_omc_aux,-0.0635,0.4464,0.859,0,0,0.865,1.0331
36,6_blimp_rescue,0.0555,0.4052,0.8311,1,0,0.9058,0.9985
37,1_lmer_complete,-0.144911047,0.388968744,0.554920489,1,1,1.127723865,1.011499554
37,2_blimp_complete,-0.163,0.3891,0.5557,1,1,1.1596,1.0118
37,3_lmer_naive,-0.645325496,0.538212428,0.404569396,0,0,0.923491663,0.764314148
37,4_blimp_lmc_noaux,-0.6602,0.5384,0.3986,0,0,0.9503,0.7648
37,5_blimp_omc_aux,-0.1666,0.4357,0.6305,1,1,1.1791,1.045
37,6_blimp_rescue,-0.1172,0.4006,0.5699,1,1,1.2134,1.0184
38,1_lmer_complete,0.155038407,0.409643628,0.572272723,1,1,0.813085338,0.978992696
38,2_blimp_complete,0.1415,0.4097,0.5644,1,1,0.8366,0.9792
38,3_lmer_naive,-0.315108723,0.528953561,0.455496892,0,1,0.684265833,0.771741394
38,4_blimp_lmc_noaux,-0.325,0.529,0.4486,0,1,0.7047,0.7722
38,5_blimp_omc_aux,0.1472,0.4199,0.6159,1,1,0.8134,1.0274
38,6_blimp_rescue,0.1674,0.3906,0.5803,1,1,0.8243,1.0012
39,1_lmer_complete,0.212176681,0.413443885,0.699896551,1,1,1.310216484,1.004481694
39,2_blimp_complete,0.1953,0.4137,0.6688,1,1,1.3474,1.0047
39,3_lmer_naive,-0.405762154,0.553152207,0.512244783,0,1,0.959240328,0.798361377
39,4_blimp_lmc_noaux,-0.4083,0.5538,0.5048,0,1,0.9875,0.799
39,5_blimp_omc_aux,0.1316,0.4606,0.7932,0,0,1.2176,1.0804
39,6_blimp_rescue,0.2303,0.423,0.7219,1,1,1.2876,1.0519
40,1_lmer_complete,-0.079376509,0.40273857,0.765597809,1,1,0.715392551,1.0261082
40,2_blimp_complete,-0.0928,0.4028,0.7585,1,1,0.734,1.0263
40,3_lmer_naive,-0.667157851,0.549426619,0.561913795,0,1,0.535485241,0.783301937
40,4_blimp_lmc_noaux,-0.6677,0.5504,0.5383,0,1,0.5526,0.7839
40,5_blimp_omc_aux,-0.1511,0.4505,0.8099,0,0,0.7217,1.0864
